slide_name,slide_width,slide_height,slide_mag,slide_pw
TCGA-69-8255-01Z-00-DX1,86332,69586,39.682539682539684,1015
TCGA-49-AAR0-01Z-00-DX1,101592,67637,39.603960396039604,1013
TCGA-49-6767-01Z-00-DX1,113294,83023,39.920159680638726,1021
TCGA-MP-A4SW-01Z-00-DX1,73704,52626,39.603960396039604,1013
TCGA-49-6742-01Z-00-DX5,150601,84821,39.682539682539684,1015
TCGA-75-6203-01Z-00-DX1,71959,19959,19.980019980019982,511
TCGA-55-7283-01Z-00-DX1,49880,33528,39.682539682539684,1015
TCGA-44-A47F-01Z-00-DX1,76809,36361,39.920159680638726,1021
TCGA-49-4512-01Z-00-DX1,107435,79902,39.682539682539684,1015
TCGA-55-6968-01Z-00-DX1,57554,59454,39.682539682539684,1015
TCGA-44-6779-01Z-00-DX1,137172,37288,39.682539682539684,1015
TCGA-55-7911-01Z-00-DX1,54677,42694,39.682539682539684,1015
TCGA-55-8302-01Z-00-DX1,55776,31516,40.7000407000407,1041
TCGA-55-6981-01Z-00-DX1,31655,42003,39.682539682539684,1015
TCGA-64-1680-01Z-00-DX1,73703,52292,39.57261574990107,1013
TCGA-55-8094-01Z-00-DX1,35492,31380,39.682539682539684,1015
TCGA-49-4512-01Z-00-DX2,101680,83907,39.682539682539684,1015
TCGA-05-4244-01Z-00-DX1,46336,44288,43.01075268817204,1101
TCGA-67-6216-01Z-00-DX1,114150,43441,39.682539682539684,1015
TCGA-97-7552-01Z-00-DX1,70024,82885,39.682539682539684,1015
TCGA-05-4418-01Z-00-DX1,99328,110848,43.01075268817204,1101
TCGA-L9-A743-01Z-00-DX1,83663,64804,39.57261574990107,1013
TCGA-05-5425-01Z-00-DX1,10000,5159,39.37007874015748,1007
TCGA-55-7727-01Z-00-DX1,134294,90266,39.682539682539684,1015
TCGA-55-6986-01Z-00-DX1,74821,35506,39.682539682539684,1015
TCGA-MP-A4TF-01Z-00-DX1,111552,60903,39.603960396039604,1013
TCGA-49-4506-01Z-00-DX4,127579,76261,39.682539682539684,1015
TCGA-49-6743-01Z-00-DX4,108394,60893,39.682539682539684,1015
TCGA-99-8033-01Z-00-DX1,72902,27882,39.682539682539684,1015
TCGA-O1-A52J-01Z-00-DX1,99599,64787,39.57261574990107,1013
TCGA-49-4487-01Z-00-DX1,118095,85791,39.920159680638726,1021
TCGA-55-6971-01Z-00-DX1,42206,27382,39.682539682539684,1015
TCGA-MN-A4N1-01Z-00-DX1,133463,92649,39.57261574990107,1013
TCGA-78-7539-01Z-00-DX1,115109,73879,39.682539682539684,1015
TCGA-50-5068-01Z-00-DX1,117987,73900,39.682539682539684,1015
TCGA-44-3918-01Z-00-DX1,150601,48809,39.682539682539684,1015
TCGA-44-6147-01Z-00-DX1,162112,34203,39.682539682539684,1015
TCGA-53-7624-01Z-00-DX1,75780,80148,39.682539682539684,1015
TCGA-73-4676-01Z-00-DX1,175542,85026,39.682539682539684,1015
TCGA-78-7158-01Z-00-DX1,99761,71214,39.682539682539684,1015
TCGA-38-4629-01Z-00-DX1,110313,74849,39.682539682539684,1015
TCGA-05-4245-01Z-00-DX1,37120,78080,43.01075268817204,1101
TCGA-55-8301-01Z-00-DX1,17928,16726,40.7000407000407,1041
TCGA-50-6593-01Z-00-DX1,116068,54105,39.682539682539684,1015
TCGA-55-8087-01Z-00-DX1,41247,37770,39.682539682539684,1015
TCGA-86-8055-01Z-00-DX1,128538,66123,39.682539682539684,1015
TCGA-78-7540-01Z-00-DX1,79617,52027,39.682539682539684,1015
TCGA-78-7166-01Z-00-DX1,113191,71832,39.682539682539684,1015
TCGA-97-7937-01Z-00-DX1,106624,84540,40.71661237785016,1042
TCGA-86-7953-01Z-00-DX1,110313,88290,39.682539682539684,1015
TCGA-99-8032-01Z-00-DX1,74821,30694,39.682539682539684,1015
TCGA-49-4507-01Z-00-DX1,115109,65509,39.682539682539684,1015
TCGA-99-8028-01Z-00-DX1,70024,30904,39.682539682539684,1015
TCGA-49-6745-01Z-00-DX4,163071,84165,39.682539682539684,1015
TCGA-50-5055-01Z-00-DX2,131472,82009,39.603960396039604,1013
TCGA-55-8505-01Z-00-DX1,42206,31690,39.682539682539684,1015
TCGA-NJ-A7XG-01Z-00-DX1,81672,68241,39.603960396039604,1013
TCGA-49-6742-01Z-00-DX2,158275,80574,39.682539682539684,1015
TCGA-44-5643-01Z-00-DX1,98802,83630,39.682539682539684,1015
TCGA-86-8281-01Z-00-DX1,49801,47480,39.682539682539684,1015
TCGA-97-A4M3-01Z-00-DX1,125444,84602,40.241448692152915,1030
TCGA-69-7764-01Z-00-DX1,94965,86138,39.682539682539684,1015
TCGA-50-8457-01Z-00-DX1,119698,84126,40.241448692152915,1030
TCGA-97-A4M7-01Z-00-DX1,166620,71099,40.241448692152915,1030
TCGA-05-4410-01Z-00-DX1,8369,10000,39.37007874015748,1007
TCGA-50-5946-01Z-00-DX1,121512,84239,39.603960396039604,1013
TCGA-49-6743-01Z-00-DX1,136212,83181,39.682539682539684,1015
TCGA-86-7955-01Z-00-DX1,85372,86562,39.682539682539684,1015
TCGA-86-8076-01Z-00-DX1,79617,63695,39.682539682539684,1015
TCGA-55-7816-01Z-00-DX1,153479,79268,39.682539682539684,1015
TCGA-86-8074-01Z-00-DX1,91128,71141,39.682539682539684,1015
TCGA-50-5055-01Z-00-DX1,109354,79914,39.682539682539684,1015
TCGA-NJ-A4YG-01Z-00-DX1,197207,77830,39.57261574990107,1013
TCGA-44-3398-01Z-00-DX1,53717,35332,39.682539682539684,1015
TCGA-55-8090-01Z-00-DX1,35492,29098,39.682539682539684,1015
TCGA-73-7498-01Z-00-DX1,115109,75143,39.682539682539684,1015
TCGA-75-7025-01Z-00-DX1,25985,18725,19.980019980019982,511
TCGA-49-AAR2-01Z-00-DX1,125496,89555,39.603960396039604,1013
TCGA-05-4422-01Z-00-DX1,73728,87296,43.01075268817204,1101
TCGA-83-5908-01Z-00-DX1,70984,70475,39.682539682539684,1015
TCGA-55-8208-01Z-00-DX1,77698,62157,39.682539682539684,1015
TCGA-55-8097-01Z-00-DX1,30695,21196,39.682539682539684,1015
TCGA-55-1595-01Z-00-DX1,101680,49927,39.682539682539684,1015
TCGA-50-6594-01Z-00-DX1,106476,84456,39.682539682539684,1015
TCGA-86-8674-01Z-00-DX1,57554,75182,39.682539682539684,1015
TCGA-62-A46O-01Z-00-DX1,91336,85517,39.72983710766786,1017
TCGA-55-7910-01Z-00-DX1,100720,68684,39.682539682539684,1015
TCGA-44-2662-01Z-00-DX1,157316,48358,39.682539682539684,1015
TCGA-44-7660-01Z-00-DX1,94965,72953,39.682539682539684,1015
TCGA-49-4507-01Z-00-DX2,113191,79694,39.682539682539684,1015
TCGA-86-8673-01Z-00-DX1,93046,71922,39.682539682539684,1015
TCGA-62-A471-01Z-00-DX1,97105,95566,39.72983710766786,1017
TCGA-71-8520-01Z-00-DX1,71712,87835,39.603960396039604,1013
TCGA-05-4433-01Z-00-DX1,92672,90368,43.01075268817204,1101
TCGA-44-3919-01Z-00-DX1,22062,69310,39.682539682539684,1015
TCGA-49-4512-01Z-00-DX3,91128,83314,39.682539682539684,1015
TCGA-38-A44F-01Z-00-DX1,185639,44659,40.45307443365696,1035
TCGA-MP-A4SY-01Z-00-DX1,113544,68465,39.603960396039604,1013
TCGA-44-A4SU-01Z-00-DX1,179928,52044,40.51863857374392,1037
TCGA-MP-A4TA-01Z-00-DX1,59760,48096,39.603960396039604,1013
TCGA-53-7626-01Z-00-DX1,75695,77816,39.57261574990107,1013
TCGA-75-5147-01Z-00-DX1,17989,14299,19.980019980019982,511
TCGA-J2-A4AD-01Z-00-DX1,109480,85211,40.71661237785016,1042
